model-1585665425,1585665426.154,0.43,0.2503,0.47,0.2606,0
model-1585665425,1585665426.512,0.46,0.2616,0.47,0.2512,0
model-1585665425,1585665426.833,0.56,0.2485,0.47,0.251,0
model-1585665425,1585665427.18,0.53,0.2494,0.47,0.2512,0
model-1585665425,1585665427.563,0.48,0.2509,0.47,0.251,0
model-1585665425,1585665427.895,0.46,0.2512,0.47,0.2506,0
model-1585665425,1585665428.221,0.56,0.249,0.47,0.2505,0
model-1585665425,1585665428.552,0.52,0.2497,0.47,0.2506,0
model-1585665425,1585665428.878,0.41,0.2515,0.47,0.2503,0
model-1585665425,1585665429.21,0.53,0.2497,0.47,0.2503,0
model-1585665425,1585665429.6,0.57,0.2493,0.47,0.2504,0
model-1585665425,1585665429.967,0.5,0.25,0.47,0.2505,0
model-1585665425,1585665430.288,0.45,0.2508,0.47,0.2504,0
model-1585665425,1585665430.615,0.58,0.2489,0.47,0.2505,0
model-1585665425,1585665430.945,0.48,0.2501,0.47,0.2506,0
model-1585665425,1585665431.269,0.52,0.2494,0.47,0.2509,0
model-1585665425,1585665431.591,0.55,0.2484,0.47,0.2514,0
model-1585665425,1585665431.92,0.47,0.2505,0.47,0.2517,0
model-1585665425,1585665432.243,0.6,0.2461,0.47,0.2528,0
model-1585665425,1585665432.564,0.43,0.2546,0.47,0.2526,0
model-1585665425,1585665432.882,0.49,0.2511,0.47,0.252,0
model-1585665425,1585665433.203,0.58,0.2456,0.47,0.252,0
model-1585665425,1585665433.524,0.51,0.2501,0.48,0.2519,0
model-1585665425,1585665433.85,0.51,0.2504,0.45,0.2514,0
model-1585665425,1585665434.171,0.52,0.2512,0.47,0.2508,0
model-1585665425,1585665434.496,0.49,0.2495,0.5,0.2502,0
model-1585665425,1585665434.822,0.54,0.2495,0.53,0.2497,0
model-1585665425,1585665435.147,0.39,0.2517,0.58,0.2497,0
model-1585665425,1585665435.476,0.48,0.2496,0.51,0.2498,0
model-1585665425,1585665435.802,0.57,0.2475,0.51,0.2498,0
model-1585665425,1585665436.127,0.59,0.2474,0.54,0.2497,0
model-1585665425,1585665436.461,0.57,0.2485,0.53,0.2496,0
model-1585665425,1585665436.795,0.5,0.2493,0.53,0.2496,0
model-1585665425,1585665437.117,0.54,0.2474,0.56,0.2495,0
model-1585665425,1585665437.44,0.58,0.2468,0.52,0.2497,0
model-1585665425,1585665437.76,0.57,0.2449,0.49,0.2498,0
model-1585665425,1585665438.082,0.55,0.2525,0.51,0.2499,0
model-1585665425,1585665438.407,0.49,0.25,0.48,0.2505,0
model-1585665425,1585665438.736,0.61,0.2442,0.46,0.2518,0
model-1585665425,1585665439.054,0.58,0.2457,0.48,0.2539,0
model-1585665425,1585665439.384,0.52,0.2491,0.48,0.2563,0
model-1585665425,1585665439.705,0.57,0.2429,0.47,0.2599,0
model-1585665425,1585665440.032,0.53,0.2493,0.47,0.2611,0
model-1585665425,1585665440.361,0.43,0.2662,0.48,0.257,0
model-1585665425,1585665440.69,0.61,0.2412,0.47,0.2549,0
model-1585665425,1585665441.011,0.5,0.2514,0.48,0.253,0
model-1585665425,1585665441.334,0.49,0.2506,0.45,0.2513,0
model-1585665425,1585665441.658,0.51,0.2493,0.46,0.2497,0
model-1585665425,1585665441.98,0.58,0.2448,0.62,0.2478,0
